desalojadas	de-sa-lo-j#a-das
Os	Os
Sertões	ser-t#ões
Nota	n#o-ta
Preliminar	pre-li-mi-n#ar
Euclides	#eu-cli-des
da	da
Cunha	c#u-nha
Escrito	es-cr#i-to
nos	nos
raros	r#a-ros
intervalos	in-ter-v#a-los
de	de
folga	f#ol-ga
uma	#u-ma
carreira	ca-rr#ei-ra
fatigante	fa-ti-g#an-te
este	#es-te
livro	l#i-vro
que	que
a	a
princípio	prin-c#í-pio
se	se
resumia	re-su-m#i-a
à	#à
história	his-t#ó-ria
Campanha	cam-p#a-nha
Canudos	ca-n#u-dos
perdeu	per-d#eu
toda	t#o-da
atualidade	a-tu-a-li-d#a-de
remorada	re-mo-r#a-da
sua	s#u-a
Ricardo	ri-c#ar-do
IIIpublicação	ii-i-pu-bli-ca-ç#ão
em	em
virtude	vir-t#u-de
causas	c#au-sas
temos	t#e-mos
por	por
escusado	es-cu-s#a-do
apontar	a-pon-t#ar
Demos-lhe	d#e-mos§-lhe
isto	#is-to
outra	#ou-tra
feição	fei-ç#ão
tomando	to-m#an-do
apenas	a-p#e-nas
variante	va-ri-#an-te
assunto	a-ss#un-to
geral	ge-r#al
o	o
tema	t#e-ma
dominante	do-mi-n#an-te
sugeriu	su-ge-r#iu
Intentamos	in-ten-t#a-mos
esboçar	es-bo-ç#ar
palidamente	pa-li-da-m#en-te
embora	em-b#o-ra
ante	#an-te
olhar	o-lh#ar
futuros	fu-t#u-ros
historiadores	his-to-ri-a-d#o-res
os	os
traços	tr#a-ços
atuais	a-tu-#ais
mais	m#ais
expressivos	ex-pre-ss#i-vos
das	das
sub-raças	sub§-r#a-ças
sertanejas	ser-ta-n#e-jas
do	do
Brasil	bra-s#il
E	E
fazêmo-lo	fa-z#ê-mo-§l#o
porque	por-qu#e
instabilidade	ins-ta-bi-li-d#a-de
complexos	com-pl#e-xos
fatores	fa-t#o-res
múltiplos	m#úl-ti-plos
e	e
diversamente	di-ver-sa-m#en-te
combinados	com-bi-n#a-dos
aliada	a-li-#a-da
às	#às
vicissitudes	vi-ci-ssi-t#u-des
históricas	his-t#ó-ri-cas
deplorável	de-plo-r#á-vel
situação	si-tu-a-ç#ão
mental	men-t#al
jazem	j#a-zem
as	as
tomam	t#o-mam
talvez	tal-v#ez
efêmeras	e-f#ê-me-ras
destinadas	des-ti-n#a-das
próximo	pr#ó-xi-mo
desaparecimento	de-sa-pa-re-ci-m#en-to
exigências	e-xi-g#ên-cias
crescentes	cres-c#en-tes
civilização	ci-vi-li-za-ç#ão
concorrência	con-co-rr#ên-cia
material	ma-te-ri-#al
intensiva	in-ten-s#i-va
correntes	co-rr#en-tes
migratórias	mi-gra-t#ó-rias
começam	co-m#e-çam
invadir	in-va-d#ir
profundamente	pro-fun-da-m#en-te
nossa	n#o-ssa
terra	t#e-rra
O	O
jagunço	ja-g#un-ço
destemeroso	des-te-me-r#o-so
tabaréu	ta-ba-r#éu
ingênuo	in-g#ê-nuo
caipira	c#ai-pi-ra
simplório	sim-pl#ó-rio
serão	se-r#ão
breve	br#e-ve
tipos	t#i-pos
relegados	re-le-g#a-dos
tradições	tra-di-ç#ões
evanescentes	e-va-nes-c#en-tes
ou	ou
extintas	ex-t#in-tas
Primeiros	pri-m#ei-ros
efeitos	e-f#ei-tos
variados	va-ri-#a-dos
cruzamentos	cru-za-m#en-tos
destinavam-se	des-ti-n#a-vam§-se
formação	for-ma-ç#ão
dos	dos
princípios	prin-c#í-pios
imediatos	i-me-di-#a-tos
grande	gr#an-de
raça	r#a-ça
Faltou-lhes	Faltou§-lhes
porém	po-r#ém
parada	pa-r#a-da
equilíbrio	e-qui-l#í-brio
Ihes	#i-hes
não	n#ão
permite	per-m#i-te
velocidade	ve-lo-ci-d#a-de
adquirida	ad-qui-r#i-da
pela	p#e-la
marcha	m#ar-cha
povos	p#o-vos
neste	n#es-te
século	s#é-cu-lo
Retardatários	re-tar-da-t#á-rios
hoje	h#o-je
amanh	#a-manh
extinguirão	ex-tin-gui-r#ão
todo	t#o-do
A	A
avançará	a-van-ça-r#á
sertões	ser-t#ões
impelida	im-pe-l#i-da
essa	#e-ssa
implacável	im-pla-c#á-vel
força	f#or-ça
motriz	mo-tr#iz
História	his-t#ó-ria
Gumplowicz	gum-plo-wic
maior	mai-#or
Hobbes	h#ob-bes
lobrigou	lo-bri-g#ou
num	num
lance	l#an-ce
genial	ge-ni-#al
no	no
esmagamento	es-ma-ga-m#en-to
inevitável	i-ne-vi-t#á-vel
raças	r#a-ças
fracas	fr#a-cas
pelas	p#e-las
fortes	f#or-tes
campanha	cam-p#a-nha
tem	t#em
significação	sig-ni-fi-ca-ç#ão
inegável	i-ne-g#á-vel
um	um
primeiro	pri-m#ei-ro
assalto	a-ss#al-to
luta	l#u-ta
longa	l#on-ga
Nem	Nem
enfraquece	en-fra-qu#e-ce
asserto	a-ss#er-to
termo-la	t#er-mo§-la
realizado	re-a-li-z#a-do
nós	n#ós
filhos	f#i-lhos
mesmo	m#es-mo
solo	s#o-lo
etnologicamente	et-no-lo-gi-ca-m#en-te
indefinidos	in-de-fi-n#i-dos
sem	sem
nacionais	na-ci-o-n#ais
uniformes	u-ni-f#or-mes
vivendo	vi-v#en-do
parasitariamente	pa-ra-si-ta-ri-a-m#en-te
beira	b#ei-ra
Atlântico	a-tl#ân-ti-co
civilizadores	ci-vi-li-za-d#o-res
elaborados	e-la-bo-r#a-dos
na	na
Europa	#eu-ro-pa
armados	ar-m#a-dos
indústria	in-d#ús-tria
alem	#a-lem
tivemos	ti-v#e-mos
ação	a-ç#ão
papel	pa-p#el
singular	sin-gu-l#ar
mercenários	mer-ce-n#á-rios
inconscientes	in-cons-ci-#en-tes
Além	a-l#ém
disto	d#is-to
mal	m#al
unidos	u-n#i-dos
àqueles	#à-que-les
extraordinários	ex-tra-or-di-n#á-rios
patrícios	pa-tr#í-cios
pelo	p#e-lo
parte	p#ar-te
desconhecido	des-co-nhe-c#i-do
deles	d#e-les
separa	se-p#a-ra
coordenada	co-or-de-n#a-da
histórica	his-t#ó-ri-ca
tempo	t#em-po
Aquela	a-qu#e-la
lembra	l#em-bra
refluxo	re-fl#u-xo
para	para
passado	pa-ss#a-do
foi	f#oi
integral	in-te-gr#al
palavra	pa-l#a-vra
crime	cr#i-me
Denunciemo-lo	de-nun-ci-#e-mo§-lo
tanto	t#an-to
quanto	qu#an-to
permitir	per-mi-t#ir
firmeza	fir-m#e-za
nosso	n#o-sso
espírito	es-p#í-ri-to
façamos	fa-ç#a-mos
jus	j#us
ao	ao
admirável	ad-mi-r#á-vel
conceito	con-c#ei-to
Taine	t#ai-ne
sobre	s#o-bre
narrador	na-rra-d#or
sincero	sin-c#e-ro
encara	en-c#a-ra
como	c#o-mo
ela	#e-la
merece	me-r#e-ce
il	#il
s	s
irrite	i-rr#i-te
contre	c#on-tre
les	l#es
demi	de-m#i
vérités	v#é-ri-tés
sont	sont
des	d#es
faussetés	fau-sse-t#és
auteurs	#au-teur
qui	qu#i
n’altèrent	nal-tr#ent
ni	n#i
une	#u-ne
date	d#a-te
généalogie	g#é-né-a-lo-gie
dénaturent	d#é-na-tu-rent
sentiments	sen-ti-ment
et	#et
moeurs	mo-#eur
gardent	gar-dent
le	l#e
dessin	de-ss#in
événements	#é-vé-ne-ment
en	#en
changent	chan-gent
la	l#a
couleur	cou-le-#ur
copient	co-pi-en
faits	f#ai
défigurent	d#é-fi-gu-rent
l'âme	lâ-#me
veut	v#eu
sentir	sen-t#ir
barbare	bar-b#a-re
parmi	par-m#i
barbares	bar-b#a-res
anciens	an-ci-ens
ancien	an-ci-#en
São	São
Paulo	p#au-lo
TERRA	t#e-rra
I	I
Preliminares	pre-li-mi-n#a-res
entrada	en-tr#a-da
sertão	ser-t#ão
Terra	t#e-rra
ignota	ig-n#o-ta
Em	Em
caminho	ca-m#i-nho
Monte	m#on-te
Santo	s#an-to
Primeiras	pri-m#ei-ras
impressões	im-pre-ss#ões
Um	Um
sonho	s#o-nho
geólogo	ge-#ó-lo-go
II	II
Golpe	g#ol-pe
vista	v#is-ta
alto	#al-to
Do	Do
Favela	fa-v#e-la
III	III
clima	cl#i-ma
Higrômetros	hi-gr#ô-me-tros
singulares	sin-gu-l#a-res
IV	IV
As	As
secas	s#e-cas
Hipóteses	hi-p#ó-te-ses
gênese	g#ê-ne-se
caatingas	ca-a-t#in-gas
V	V
Uma	#u-ma
categoria	ca-te-go-r#i-a
geográfica	ge-o-gr#á-fi-ca
Hegel	he-g#el
citou	ci-t#ou
Como	c#o-mo
faz	f#az
deserto	de-s#er-to
extingue	ex-t#in-gue
martírio	mar-t#í-rio
secular	se-cu-l#ar
Capítulo	ca-p#í-tu-lo
Planalto	pla-n#al-to
Central	cen-tr#al
desce	d#es-ce
litorais	li-to-r#ais
Sul	s#ul
escarpas	es-c#ar-pas
inteiriças	in-t#ei-ri-ças
altas	#al-tas
abruptas	a-br#up-tas
Assoberba	a-sso-b#er-ba
mares	m#a-res
desata-se	de-s#a-ta§-se
chapadões	cha-pa-d#ões
nivelados	ni-ve-l#a-dos
pelos	p#e-los
visos	v#i-sos
cordilheiras	cor-di-lh#ei-ras
marítimas	ma-r#í-ti-mas
distendidas	dis-ten-d#i-das
Rio	r#i-o
Grande	gr#an-de
Minas	m#i-nas
Mas	Mas
derivar	de-ri-v#ar
terras	t#e-rras
setentrionais	se-ten-tri-o-n#ais
diminui	di-mi-nu#i
gradualmente	gra-du-al-m#en-te
altitude	al-ti-t#u-de
descamba	des-c#am-ba
costa	c#os-ta
oriental	o-ri-en-t#al
andares	an-d#a-res
repetidos	re-pe-t#i-dos
socalcos	so-c#al-cos
despem	d#es-pem
primitiva	pri-mi-t#i-va
grandeza	gran-d#e-za
afastando-o	a-fas-t#an-do§-o
consideravelmente	con-si-de-ra-vel-m#en-te
interior	in-te-ri-#or
De	De
sorte	s#or-te
quem	qu#em
contorna	con-t#or-na
seguindo	se-gu#in-do
norte	n#or-te
observa	ob-s#er-va
notáveis	no-t#á-veis
mudanças	mu-d#an-ças
relevos	re-l#e-vos
principio	prin-ci-p#i-o
traço	tr#a-ço
contínuo	con-t#í-nuo
montanhas	mon-t#a-nhas
precintando-o	pre-cin-t#an-do§-o
com	com
destaque	des-t#a-que
saliente	sa-li-#en-te
linha	l#i-nha
projetante	pro-je-t#an-te
praias	pr#ai-as
depois	de-p#ois
segmento	seg-m#en-to
orla	#or-la
marítima	ma-r#í-ti-ma
entre	#en-tre
Janeiro	ja-n#ei-ro
Espírito	es-p#í-ri-to
aparelho	a-pa-r#e-lho
litoral	li-to-r#al
revolto	re-v#ol-to
feito	f#ei-to
envergadura	en-ver-ga-d#u-ra
desarticulada	de-sar-ti-cu-l#a-da
serras	s#e-rras
riçado	ri-ç#a-do
cumeadas	cu-me-#a-das
corroído	co-rro-#í-do
angras	#an-gras
escancelando-se	es-can-ce-l#an-do§-se
baias	b#ai-as
repartindo-se	re-par-t#in-do§-se
ilhas	#i-lhas
desagregando-se	de-sa-gre-g#an-do§-se
recifes	re-c#i-fes
desnudos	des-n#u-dos
maneira	ma-n#ei-ra
escombros	es-c#om-bros
conflito	con-fl#i-to
ali	a-l#i
trava	tr#a-va
seguida	se-gu#i-da
transposto	trans-p#os-to
paralelo	pa-ra-l#e-lo
atenuação	a-te-nu-a-ç#ão
todos	t#o-dos
acidentes	a-ci-d#en-tes
serranias	se-rra-n#i-as
arredondam	a-rre-d#on-dam
suavizam	su-a-v#i-zam
linhas	l#i-nhas
taludes	ta-l#u-des
fracionadas	fra-ci-o-n#a-das
morros	m#o-rros
encostas	en-c#os-tas
indistintas	in-dis-t#in-tas
horizonte	ho-ri-z#on-te
amplia	am-pl#i-a
até	a-t#é
plena	pl#e-na
faixa	f#ai-xa
costeira	cos-t#ei-ra
Bahia	ba-h#i-a
livre	l#i-vre
anteparos	an-te-p#a-ros
lá	l#á
repulsam	re-p#ul-sam
abreviam	a-bre-v#i-am
dilata	di-l#a-ta
cheio	ch#ei-o
ocidente	o-ci-d#en-te
mergulhando	mer-gu-lh#an-do
âmago	#â-ma-go
amplíssima	am-pl#í-ssi-ma
lentamente	len-ta-m#en-te
emergindo	e-mer-g#in-do
ondear	on-de-#ar
longínquo	lon-g#ín-quo
chapadas	cha-p#a-das
Este	#es-te
facies	fa-c#i-es
geográfico	ge-o-gr#á-fi-co
resume	re-s#u-me
morfogenia	mor-fo-ge-n#i-a
maciço	ma-c#i-ço
continental	con-ti-nen-t#al
Demonstra-o	de-m#ons-tra§-o
análise	a-n#á-li-se
ntima	nt#i-ma
feita	f#ei-ta
corte	c#or-te
meridiano	me-ri-di-#a-no
qualquer	qual-qu#er
