desalojadas	de-sa-lo-j#a-das
os	os
sertões	ser-t#ões
euclides	#eu-cli-des
da	da
cunha	c#u-nha
nota	n#o-ta
preliminar	pre-li-mi-n#ar
escrito	es-cr#i-to
nos	nos
raros	r#a-ros
intervalos	in-ter-v#a-los
de	de
folga	f#ol-ga
uma	#u-ma
demos-lhe	d#e-mos§-lhe
por	por
isto	#is-to
outra	#ou-tra
feição	fei-ç#ão
tomando	to-m#an-do
intentamos	in-ten-t#a-mos
esboçar	es-bo-ç#ar
palidamente	pa-li-da-m#en-te
embora	em-b#o-ra
ante	#an-te
e	e
fazêmo-lo	fa-z#ê-mo-§l#o
porque	por-qu#e
a	a
sua	s#u-a
instabilidade	ins-ta-bi-li-d#a-de
o	o
jagunço	ja-g#un-ço
destemeroso	des-te-me-r#o-so
tabaréu	ta-ba-r#éu
primeiros	pri-m#ei-ros
efeitos	e-f#ei-tos
variados	va-ri-#a-dos
cruzamentos	cru-za-m#en-tos
faltou-lhes	faltou§-lhes
porém	po-r#ém
situação	si-tu-a-ç#ão
parada	pa-r#a-da
retardatários	re-tar-da-t#á-rios
hoje	h#o-je
amanh	#a-manh
se	se
extinguirão	ex-tin-gui-r#ão
todo	t#o-do
civilização	ci-vi-li-za-ç#ão
avançará	a-van-ça-r#á
campanha	cam-p#a-nha
canudos	ca-n#u-dos
tem	t#em
significação	sig-ni-fi-ca-ç#ão
nem	Nem
enfraquece	en-fra-qu#e-ce
asserto	a-ss#er-to
termo-la	t#er-mo§-la
realizado	re-a-li-z#a-do
inconscientes	in-cons-ci-#en-tes
além	a-l#ém
disto	d#is-to
mal	m#al
unidos	u-n#i-dos
àqueles	#à-que-les
extraordinários	ex-tra-or-di-n#á-rios
aquela	a-qu#e-la
lembra	l#em-bra
um	um
refluxo	re-fl#u-xo
para	p#a-ra
passado	pa-ss#a-do
foi	f#oi
na	na
integral	in-te-gr#al
palavra	pa-l#a-vra
denunciemo-lo	de-nun-ci-#e-mo§-lo
tanto	t#an-to
quanto	qu#an-to
permitir	per-mi-t#ir
firmeza	fir-m#e-za
taine	t#ai-ne
sobre	s#o-bre
narrador	na-rra-d#or
sincero	sin-c#e-ro
que	que
encara	en-c#a-ra
são	São
paulo	p#au-lo
terra	t#e-rra
preliminares	pre-li-mi-n#a-res
entrada	en-tr#a-da
do	do
sertão	ser-t#ão
ignota	ig-n#o-ta
em	em
caminho	ca-m#i-nho
monte	m#on-te
santo	s#an-to
primeiras	pri-m#ei-ras
impressões	im-pre-ss#ões
sonho	s#o-nho
geólogo	ge-#ó-lo-go
golpe	g#ol-pe
vista	v#is-ta
alto	#al-to
favela	fa-v#e-la
clima	cl#i-ma
higrômetros	hi-gr#ô-me-tros
singulares	sin-gu-l#a-res
as	as
secas	s#e-cas
hipóteses	hi-p#ó-te-ses
gênese	g#ê-ne-se
caatingas	ca-a-t#in-gas
categoria	ca-te-go-r#i-a
geográfica	ge-o-gr#á-fi-ca
hegel	he-g#el
não	n#ão
como	c#o-mo
faz	f#az
deserto	de-s#er-to
extingue	ex-t#in-gue
martírio	mar-t#í-rio
secular	se-cu-l#ar
capítulo	ca-p#í-tu-lo
planalto	pla-n#al-to
central	cen-tr#al
brasil	bra-s#il
desce	d#es-ce
litorais	li-to-r#ais
sul	s#ul
escarpas	es-c#ar-pas
assoberba	a-sso-b#er-ba
mares	m#a-res
desata-se	de-s#a-ta§-se
chapadões	cha-pa-d#ões
nivelados	ni-ve-l#a-dos
mas	Mas
ao	ao
derivar	de-ri-v#ar
terras	t#e-rras
setentrionais	se-ten-tri-o-n#ais
sorte	s#or-te
quem	qu#em
contorna	con-t#or-na
seguindo	se-gu#in-do
este	#es-te
facies	fa-c#i-es
geográfico	ge-o-gr#á-fi-co
resume	re-s#u-me
morfogenia	mor-fo-ge-n#i-a
demonstra-o	de-m#ons-tra§-o
análise	a-n#á-li-se
mais	m#ais
ntima	nt#i-ma
feita	f#ei-ta
corte	c#or-te
vê-se	v#ê§-se
fato	f#a-to
três	tr#ês
formações	for-ma-ç#ões
geognósticas	ge-og-n#ós-ti-cas
surgem	s#ur-gem
primeiro	pri-m#ei-ro
possantes	po-ss#an-tes
massas	m#a-ssas
gnaissegraníticas	gnai-sse-gra-n#í-ti-cas
princípio	prin-c#í-pio
abeiradas	a-b#ei-ra-das
mar	m#ar
progridem	pro-gr#i-dem
sobranceia	so-bran-c#ei-a
oceano	o-ce-#a-no
dominante	do-mi-n#an-te
é	é
feito	f#ei-to
sob	sob
tríplice	tr#í-pli-ce
aspecto	as-p#ec-to
transmontadas	trans-mon-t#a-das
serras	s#e-rras
linha	l#i-nha
fulgurante	ful-gu-r#an-te
atrai	a-tr#ai
irresistivelmente	i-rre-sis-ti-vel-m#en-te
homem	h#o-mem
tietê	ti-e-t#ê
traçando	tra-ç#an-do
originalíssima	o-ri-gi-na-l#í-ssi-ma
rede	r#e-de
rasgam	r#as-gam
facilmente	fa-cil-m#en-te
aqueles	a-qu#e-les
estratos	es-tr#a-tos
traçados	tra-ç#a-dos
entretanto	en-tre-t#an-to
leste	l#es-te
natureza	na-tu-r#e-za
diversa	di-v#er-sa
estereografa-se	es-te-re-o-gr#a-fa§-se
duramente	du-ra-m#en-te
nas	nas
placas	pl#a-cas
rígidas	r#í-gi-das
penetrar-se	pe-ne-tr#ar§-se
estado	es-t#a-do
nota-se	n#o-ta§-se
malgrado	mal-gr#a-do
altos	#al-tos
mesmo	m#es-mo
tempo	t#em-po
transpostas	trans-p#os-tas
sublevações	su-ble-va-ç#ões
mudança	mu-d#an-ça
estrutural	es-tru-tu-r#al
origina	o-ri-g#i-na
quadros	qu#a-dros
região	re-gi-#ão
continua	con-ti-n#u-a
alpestre	al-p#es-tre
caráter	ca-r#á-ter
das	das
rochas	r#o-chas
exposto	ex-p#os-to
abas	#a-bas
dali	da-l#i
descem	d#es-cem
acachoantes	a-ca-cho-#an-tes
levante	le-v#an-te
camadas	ca-m#a-das
anteriores	an-te-ri-#o-res
vimos	v#i-mos
novo	n#o-vo
horizonte	ho-ri-z#on-te
geológico	ge-o-l#ó-gi-co
reponta	re-p#on-ta
com	com
traço	tr#a-ço
estudado	es-tu-d#a-do
caracteriza-o	ca-rac-te-r#i-za§-o
permanece	per-ma-n#e-ce
elevada	e-le-v#a-da
verifica-se	ve-ri-f#i-ca§-se
assim	a-ss#im
tendência	ten-d#ên-cia
aplainamento	a-pl#ai-na-men-to
neste	n#es-te
coincidir	coi-nci-d#ir
altas	#al-tas
serra	s#e-rra
grão	gr#ão
mogol	mo-g#ol
raiando	rai-#an-do
lindes	l#in-des
sulcos	s#ul-cos
erosão	e-ro-s#ão
retalham	re-t#a-lham
cortes	c#or-tes
ostentam	os-t#en-tam
plano	pl#a-no
vertical	ver-ti-c#al
sucedendo-se	su-ce-d#en-do§-se
sem	sem
linhas	l#i-nhas
cumeadas	cu-me-#a-das
maiores	mai-#o-res
caindo	ca-#in-do
ali	a-l#i
há	h#á
séculos	s#é-cu-los
fortes	f#or-tes
enxurradas	en-xu-rr#a-das
consoante	con-so-#an-te
resistência	re-sis-t#ên-cia
dos	dos
materiais	ma-te-ri-#ais
desaparecem	de-sa-pa-r#e-cem
vários	v#á-rios
pontos	p#on-tos
estiram-se	es-t#i-ram§-se
então	en-t#ão
planuras	pla-n#u-ras
vastas	v#as-tas
galgando-as	gal-g#an-do§-as
pelos	p#e-los
taludes	ta-l#u-des
soerguem	so-#er-guem
dandolhes	dan-d#o-lhes
paragem	pa-r#a-gem
formosíssima	for-mo-s#í-ssi-ma
campos	c#am-pos
atravessêmo-la	a-tra-ve-ss#ê-mo-§l#a
adiante	a-di-#an-te
partir	par-t#ir
estas	#es-tas
conformações	con-for-ma-ç#ões
desenterram-se	de-sen-t#e-rram§-se
montanhas	mon-t#a-nhas
diamantina	di-a-man-t#i-na
bahia	ba-h#i-a
revivendo	re-vi-v#en-do
deste	d#es-te
ponto	p#on-to
diante	di-#an-te
eixo	#ei-xo
desfaz-se	des-f#az§-se
cordilheira	cor-di-lh#ei-ra
eriça-se	e-r#i-ça-§se
contrafortes	con-tra-f#or-tes
transmuda-se	trans-m#u-da§-se
topográfico	to-po-gr#á-fi-co
retratando	re-tra-t#an-do
revela-os	re-v#e-la§-os
s	s
francisco	fran-c#is-co
no	no
vivo	v#i-vo
infletir	in-fle-t#ir
torce	t#or-ce
esta	#es-ta
deprimida	de-pri-m#i-da
revolta	re-v#ol-ta
cai	c#ai
terraços	te-rr#a-ços
inferiores	in-fe-ri-#o-res
entre	#en-tre
último	#úl-ti-mo
rebento	re-b#en-to
principal	prin-ci-p#al
itiúba	i-ti-#ú-ba
reúne-lhe	re-#ú-ne-§lhe
alteia-se	al-t#ei-a§-se
momento	mo-m#en-to
descai	des-c#ai
logo	l#o-go
todos	t#o-dos
observador	ob-ser-va-d#or
itinerário	i-ti-ne-r#á-rio
está	es-t#á
socalco	so-c#al-co
maciço	ma-c#i-ço
continental	con-ti-nen-t#al
demarca-o	de-m#ar-ca§-o
banda	b#an-da
abrangendo	a-bran-g#en-do
dois	d#ois
quadrantes	qua-dr#an-tes
segundo	se-g#un-do
mediana	me-di-#a-na
correndo	co-rr#en-do
quase	qu#a-se
paralelo	pa-ra-l#e-lo
estupendo	es-tu-p#en-do
degrau	de-gr#au
onde	#on-de
reina	r#ei-na
drenagem	dre-n#a-gem
caótica	ca-#ó-ti-ca
abordando-o	a-bor-d#an-do§-o
compreende-se	com-pre-#en-de§-se
até	a-t#é
escasseiem	es-ca-sse#i-em
long	long
r	R
j	J
notícias	no-t#í-cias
exatas	e-x#a-tas
ou	ou
pormenorizadas	por-me-no-ri-z#a-das
claro	cl#a-ro
expressivo	ex-pre-ss#i-vo
hiato	hi-#a-to
transpondo	trans-p#on-do
itapicuru	i-ta-pi-cu-r#u
pelo	p#e-lo
lado	l#a-do
apenas	a-p#e-nas
naquele	na-qu#e-le
rumo	r#u-mo
avantajou	a-van-ta-j#ou
cortou	cor-t#ou
rápida	r#á-pi-da
fugindo	fu-g#in-do
nenhuma	ne-nh#u-ma
lá	l#á
fixou	fi-x#ou
podia	po-d#i-a
fixar	fi-x#ar
estranho	es-tr#a-nho
território	te-rri-t#ó-rio
menos	m#e-nos
quarenta	qua-r#en-ta
enquanto	en-qu#an-to
bandeiras	ban-d#ei-ras
lhe	lhe
paravam	pa-r#a-vam
trilhando	tri-lh#an-do
daqueles	da-qu#e-les
deixando	d#ei-xan-do
orla	#or-la
marítima	ma-r#í-ti-ma
cheio	ch#ei-o
camassari	ca-ma-ssa-r#i
antigas	an-t#i-gas
vegetação	ve-ge-ta-ç#ão
roda	r#o-da
rarefazem-se	ra-re-f#a-zem§-se
matas	m#a-tas
empobrecem	em-po-br#e-cem
extinguem-se	ex-t#in-guem§-se
fim	f#im
depois	de-p#ois
lançarem	lan-ç#a-rem
rebentos	re-b#en-tos
lugar	lu-g#ar
reaparecem	re-a-pa-r#e-cem
morros	m#o-rros
lopes	l#o-pes
lajedo	la-j#e-do
aprumam-se	a-pr#u-mam§-se
à	à
maneira	ma-n#ei-ra
impressão	im-pre-ss#ão
seguir	se-gu#ir
torneando	tor-ne-#an-do
calca	c#al-ca
estrada	es-tr#a-da
vezes	v#e-zes
alteraram	al-te-r#a-ram
nunca	n#un-ca
variou	va-ri-#ou
tarde	t#ar-de
cuja	c#u-ja
longura	lon-g#u-ra
cem	c#em
calcando-o	cal-c#an-do§-o
demanda	de-m#an-da
piau	pi-#au
pernambuco	per-nam-b#u-co
maranhão	ma-ra-nh#ão
pará	pa-r#á
povoadores	po-vo-a-d#o-res
progredindo	pro-gre-d#in-do
juazeiro	ju-a-z#ei-ro
volvendo	vol-v#en-do
direita	di-r#ei-ta
aquelas	a-qu#e-las
duas	d#u-as
penetração	pe-ne-tra-ç#ão
entanto	en-t#an-to
abalança	a-ba-l#an-ça
atravessá-lo	a-tra-ve-ss#á§-lo
recurvo	re-c#ur-vo
meandros	me-#an-dros
alenta	a-l#en-ta
terreno	te-rr#e-no
areento	a-re-#en-to
chão	ch#ão
permite	per-m#i-te
travessia	tra-ve-ss#i-a
aos	aos
lados	l#a-dos
ondulam	on-d#u-lam
tabuleiros	ta-bu-l#ei-ros
pedra	p#e-dra
aflorando	a-flo-r#an-do
lajedos	la-j#e-dos
horizontais	ho-ri-zon-t#ais
vêem-se	v#ê-em-§se
lugares	lu-g#a-res
vão	v#ão
varada	va-r#a-da
estreita	es-tr#ei-ta
faixa	f#ai-xa
cerrados	ce-rr#a-dos
perlongam	per-l#on-gam
daquele	da-qu#e-le
inóspito	i-n#ós-pi-to
galga-se	g#al-ga§-se
ondulação	on-du-la-ç#ão
qualquer	qual-qu#er
